,DestRaw,Dest,geocoder_results,latlong
219,NORRISTOPWN-PA,"NORRISTON, PA","<[OK] Google - Geocode [Norristown, PA, USA]>","[40.121497, -75.3399048]"
220,NAUSTAN,NAUSTAN,remove,
221,WILMINGTON,WILMINGTON,,
222,GALVESTON,GALVESTON,"<[OK] Google - Geocode [Galveston, TX, USA]>","[29.3013479, -94.7976958]"
223,NJ,NJ,"<[OK] Google - Geocode [New Jersey, USA]>","[40.0583238, -74.4056612]"
224,BRIDGEPORT,"BRIDGEPORT, CT","<[OK] Google - Geocode [Bridgeport, CT, USA]>","[41.1792258, -73.1894384]"
225,BRIDGEPORT CT,"BRIDGEPORT, CT","<[OK] Google - Geocode [Bridgeport, CT, USA]>","[41.1792258, -73.1894384]"
226,MILWAUKEE,"MILWAUKEE, WI","<[OK] Google - Geocode [Milwaukee, WI, USA]>","[43.0389025, -87.9064736]"
227,MILFORD MA,"MILFORD, MA","<[OK] Google - Geocode [Milford, MA, USA]>","[42.1398577, -71.5163049]"
228,NICORRI--,NICORRI--,,
229,CHARLEROI,CHARLEROI,"<[OK] Google - Geocode [Charleroi, PA 15022, USA]>","[40.1378499, -79.89810349999999]"
230,HOUSTON,"HOUSTON, TX","<[OK] Google - Geocode [Houston, TX, USA]>","[29.7604267, -95.3698028]"
231,NEW YOK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
232,JOHNGSTON,JOHNGSTON,,
233,ATLANTA GA,"ATLANTA, GA","<[OK] Google - Geocode [Atlanta, GA, USA]>","[33.7489954, -84.3879824]"
234,0,0,,
235,MILFORD MAS,"MILFORD, MA","<[OK] Google - Geocode [Milford, MA, USA]>","[42.1398577, -71.5163049]"
236,GREENSBURG-PA,"GREENSBURG, PA","<[OK] Google - Geocode [Greensburg, PA 15601, USA]>","[40.3014581, -79.5389289]"
237,WALSTON,WALSTON,"<[OK] Google - Geocode [Walston, PA 15781, USA]>","[40.9650644, -78.9947562]"
238,PITTSBURG-PA,"PITTSBURG, PA","<[OK] Google - Geocode [Pittsburgh, PA, USA]>","[40.44062479999999, -79.9958864]"
239,MIAMISBURG-OH,"MIAMISBURG, OH","<[OK] Google - Geocode [Miamisburg, OH, USA]>","[39.6428362, -84.2866083]"
240,JOHNSTON,JOHNSTON,,
241,YOUNGSTOWN,"YOUNGSTOWN, OH","<[OK] Google - Geocode [Youngstown, OH, USA]>","[41.0997803, -80.6495194]"
242,HILLSVILLE PA,"HILLSVILLE, PA","<[OK] Google - Geocode [Hillsville, PA 16116, USA]>","[41.0078378, -80.4967353]"
243,LANDVILLE OHIO,"LANDVILLE, OH","<[OK] Google - Geocode [Landville, WV 25635, USA]>","[37.7123299, -81.8673407]"
244,MASSACHUSETTS,MASSACHUSETTS,"<[OK] Google - Geocode [Massachusetts, USA]>","[42.4072107, -71.3824374]"
245,PATERSON PA,"PATERSON, PA","<[OK] Google - Geocode [545 Main St, Paterson, NJ 07503, USA]>","[40.9071188, -74.17007629999999]"
246,WHITE PLAINS NY,"WHITE PLAINS, NY","<[OK] Google - Geocode [White Plains, NY, USA]>","[41.03398620000001, -73.7629097]"
247,WALSTON PA.,"WALSTON, PA","<[OK] Google - Geocode [Walston, PA 15781, USA]>","[40.9650644, -78.9947562]"
248,SAN JOSE CA,"SAN JOSE, CA","<[OK] Google - Geocode [San Jose, CA, USA]>","[37.3382082, -121.8863286]"
249,WASINGTON DC,"WASINGTON, DC","<[OK] Google - Geocode [Washington, DC, USA]>","[38.9071923, -77.0368707]"
250,EMILTON-PA,"EMILTON, PA","<[OK] Google - Geocode [Emlenton, PA 16373, USA]>","[41.1772836, -79.7078274]"
251,HARTFORD,"HARTFORD, CT","<[OK] Google - Geocode [Hartford, CT, USA]>","[41.7658043, -72.6733723]"
252,ELIZABETH-NJ,"ELIZABETH, NJ","<[OK] Google - Geocode [Elizabeth, NJ, USA]>","[40.6639916, -74.2107006]"
253,DELANGER PA,"DELANGER, PA",,
254,JOHNSTOWN PA,"JOHNSTOWN, PA","<[OK] Google - Geocode [Johnstown, PA, USA]>","[40.32674069999999, -78.9219698]"
255,JONGSTON,JONGSTON,,
256,SOLDIER-PA,"SOLDIER, PA","<[OK] Google - Geocode [Soldier, Winslow Township, PA 15851, USA]>","[41.0625625, -78.8439207]"
257,DELAMER-PA,"DELAMER, PA",,
258,SELSVILLE PA,"SELSVILLE, PA","<[OK] Google - Geocode [Sellersville, PA 18960, USA]>","[40.3539926, -75.3048982]"
259,OSWEGO NY,"OSWEGO, NY","<[OK] Google - Geocode [Oswego, NY, USA]>","[43.4553461, -76.5104973]"
260,CARLERON MAS,"CARLERON, MA",,
261,FRISCO-CA,"FRISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
262,PITTSBURGH PA.,"PITTSBURGH, PA","<[OK] Google - Geocode [Pittsburgh, PA, USA]>","[40.44062479999999, -79.9958864]"
263,TRINIDAD,TRINIDAD,,
264,MIDLETOWN,MIDLETOWN,"<[OK] Google - Geocode [Middletown, NY 10940, USA]>","[41.4459271, -74.42293409999999]"
265,HOMOSTEAD PA,"HOMOSTEAD, PA","<[OK] Google - Geocode [Homestead, PA 15120, USA]>","[40.4059025, -79.9119948]"
266,S.FRANCISCO,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
267,ALTONA PA,"ALTONA, PA","<[OK] Google - Geocode [Altoona, PA, USA]>","[40.5186809, -78.3947359]"
268,DUNKIRK,DUNKIRK,,
269,NEWPORT,NEWPORT,,
270,WESTERLY,WESTERLY,"<[OK] Google - Geocode [Westerly, RI, USA]>","[41.3775987, -71.82728709999999]"
271,WESTERLY RI,"WESTERLY, RI","<[OK] Google - Geocode [Westerly, RI, USA]>","[41.3775987, -71.82728709999999]"
272,DENVER CO,"DENVER, CO","<[OK] Google - Geocode [Denver, CO, USA]>","[39.7392358, -104.990251]"
273,VINELAND,VINELAND,"<[OK] Google - Geocode [Vineland, NJ, USA]>","[39.4863773, -75.02596369999999]"
274,HABOKEN NJ,"HABOKEN, NJ","<[OK] Google - Geocode [Hoboken, NJ, USA]>","[40.7439905, -74.0323626]"
275,GENEVA-NY,"GENEVA, NY","<[OK] Google - Geocode [Geneva, NY 14456, USA]>","[42.8679836, -76.985557]"
276,BRAN,BRAN,,
277,BAYON,BAYON,,
278,NEW YORK CITY,"NEW YORK, NY","<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
279,NEW-OLEANS,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","[29.95106579999999, -90.0715323]"
280,WEST-HOBOKEN,"WEST HOBOKEN, NJ","<[OK] Google - Geocode [Hoboken, NJ, USA]>","[40.7439905, -74.0323626]"
281,SAINT LOUIS MN,SAINT LOUIS MN,,
282,TOLUCA IL,"TOLUCA, IL","<[OK] Google - Geocode [Toluca, IL 61369, USA]>","[41.0022556, -89.133416]"
283,JERSEY,JERSEY,,
284,MILWAKEE WI,"MILWAKEE, WI","<[OK] Google - Geocode [Milwaukee, WI, USA]>","[43.0389025, -87.9064736]"
285,SYRACUSE-NY,"SYRACUSE, NY","<[OK] Google - Geocode [Syracuse, NY, USA]>","[43.0481221, -76.14742439999999]"
286,ALBANY,"ALBANY, NY","<[OK] Google - Geocode [Albany, NY, USA]>","[42.6525793, -73.7562317]"
287,DE LANG PA,"DE LANG, PA",,
288,BOSCHIRE,BOSCHIRE,,
289,HARTFORT,HARTFORT,"<[OK] Google - Geocode [Hartford, CT, USA]>","[41.7658043, -72.6733723]"
290,OBOCK,OBOCK,,
291,BOSTON MAS,"BOSTON, MA","<[OK] Google - Geocode [Boston, MA, USA]>","[42.3600825, -71.0588801]"
292,NEWPORT VA,"NEWPORT, VA","<[OK] Google - Geocode [Newport, VA 24128, USA]>","[37.29429349999999, -80.49533339999999]"
293,PROVIDENCE PA,"PROVIDENCE, PA","<[OK] Google - Geocode [Providence Township, PA, USA]>","[39.90250839999999, -76.23632479999999]"
294,NEGAUNEE MI,"NEGAUNEE, MI","<[OK] Google - Geocode [Negaunee, MI 49866, USA]>","[46.5090928, -87.60687209999999]"
295,PINXTENN,PINXTENN,,
296,S JOSE COL,S JOSE COL,,
297,MIDDLETON,MIDDLETON,,
298,UTICA NY,"UTICA, NY","<[OK] Google - Geocode [Utica, NY, USA]>","[43.100903, -75.232664]"
299,PUEBLO COL,"PUEBLO, CO","<[OK] Google - Geocode [Pueblo, CO, USA]>","[38.2544472, -104.6091409]"
300,JERSEY-NY,"JERSEY, NY",,
301,SYRACUSA NY,"SYRACUSE, NY","<[OK] Google - Geocode [Syracuse, NY, USA]>","[43.0481221, -76.14742439999999]"
302,GLASSGOW NY,"GLASSGOW, NY",,
303,NESQUEHANING PA,"NESQUEHANING, PA","<[OK] Google - Geocode [Nesquehoning, PA, USA]>","[40.864534, -75.81102770000001]"
304,FREDONIA,FREDONIA,"<[OK] Google - Geocode [Fredonia, NY 14063, USA]>","[42.4400576, -79.3317105]"
305,NEW LONDON,NEW LONDON,"<[OK] Google - Geocode [New London, CT, USA]>","[41.3556539, -72.0995209]"
306,DASTON OH,"DASTON, OH","<[OK] Google - Geocode [Dayton, OH, USA]>","[39.7589478, -84.1916069]"
307,NEW HARVEN CT,"NEW HARVEN, CT","<[OK] Google - Geocode [New Haven, CT, USA]>","[41.308274, -72.9278835]"
308,UTICA,UTICA,"<[OK] Google - Geocode [Utica, NY, USA]>","[43.100903, -75.232664]"
309,JOHNSTOWN-PA,"JOHNSTOWN, PA","<[OK] Google - Geocode [Johnstown, PA, USA]>","[40.32674069999999, -78.9219698]"
310,"SUSPENSION BRIDGE,NY","SUSPENSION BRIDGE, NY",,
311,MCKEESPORT,MCKEESPORT,"<[OK] Google - Geocode [McKeesport, PA, USA]>","[40.3470671, -79.8641232]"
312,ST JOSE-CA,"SAN JOSE, CA","<[OK] Google - Geocode [San Jose, CA, USA]>","[37.3382082, -121.8863286]"
313,ST.JOSE-CA,"SAN JOSE, CA","<[OK] Google - Geocode [San Jose, CA, USA]>","[37.3382082, -121.8863286]"
314,NY,NY,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
315,WAYNESBURG,WAYNESBURG,"<[OK] Google - Geocode [Waynesburg, PA 15370, USA]>","[39.8964641, -80.1792299]"
316,CALDWEL NY,"CALDWEL, NY","<[OK] Google - Geocode [Caldwell, NJ 07006, USA]>","[40.8398218, -74.2765366]"
317,GENOA,GENOA,,
318,COSSATO,COSSATO,,
319,HAZELTON PA,"HAZELTON, PA","<[OK] Google - Geocode [Hazleton, PA, USA]>","[40.9584181, -75.97464719999999]"
320,ONDEMICO,ONDEMICO,,
321,UTTICA,UTTICA,"<[OK] Google - Geocode [Utica, NY, USA]>","[43.100903, -75.232664]"
322,ALLEGHENY,ALLEGHENY,"<[OK] Google - Geocode [Allegheny County, PA, USA]>","[40.4450813, -80.0087746]"
323,TAMPA-FL,"TAMPA, FL","<[OK] Google - Geocode [Tampa, FL, USA]>","[27.950575, -82.4571776]"
324,NEW HAVEN,"NEW HAVEN, CT","<[OK] Google - Geocode [New Haven, CT, USA]>","[41.308274, -72.9278835]"
325,MORRISTOWN,MORRISTOWN,"<[OK] Google - Geocode [Morristown, NJ 07960, USA]>","[40.79676670000001, -74.4815438]"
326,BROOKLN N,BROOKLN N,"<[OK] Google - Geocode [Brooklyn, NY, USA]>","[40.6781784, -73.9441579]"
327,RALSTON NE,"RALSTON, NE","<[OK] Google - Geocode [Ralston, NE 68127, USA]>","[41.2002566, -96.031987]"
328,SAGUANO,SAGUANO,,
329,CLEVELAND OH,"CLEVELAND, OH","<[OK] Google - Geocode [Cleveland, OH, USA]>","[41.49932, -81.6943605]"
330,"BUFFALO, NY","BUFFALO, NY","<[OK] Google - Geocode [Buffalo, NY, USA]>","[42.88644679999999, -78.8783689]"
331,NORFOLK VA.,"NORFOLK, VA","<[OK] Google - Geocode [Norfolk, VA, USA]>","[36.8507689, -76.28587259999999]"
332,HESTER-PA,"HESTER, PA",,
333,GALVESTON TX,"GALVESTON, TX","<[OK] Google - Geocode [Galveston, TX, USA]>","[29.3013479, -94.7976958]"
334,LUZERNE PA,"LUZERNE, PA","<[OK] Google - Geocode [Luzerne, PA, USA]>","[41.2856365, -75.9010304]"
335,SOLDIER PA,"SOLDIER, PA","<[OK] Google - Geocode [Soldier, Winslow Township, PA 15851, USA]>","[41.0625625, -78.8439207]"
336,MOUNT MORRIS IL,"MOUNT MORRIS, IL","<[OK] Google - Geocode [Mt Morris, IL 61054, USA]>","[42.0503062, -89.43122009999999]"
337,BRYON-TX,"BRYON, TX","<[OK] Google - Geocode [Bryan, TX, USA]>","[30.6743643, -96.3699632]"
338,WHITNE PA,WHITNE PA,"<[OK] Google - Geocode [Whitney, PA 15650, USA]>","[40.2544426, -79.4100838]"
339,CHARLESTOWN,CHARLESTOWN,"<[OK] Google - Geocode [Charlestown, Boston, MA, USA]>","[42.3782065, -71.0602131]"
340,CONNECTICUT,CONNECTICUT,"<[OK] Google - Geocode [Connecticut, USA]>","[41.6032207, -73.087749]"
341,ARON-N,ARON-N,,
342,CHARLESON PA,"CHARLESON, PA","<[OK] Google - Geocode [Charleston Township, PA, USA]>","[41.7376007, -77.2175223]"
343,NEW-YORTK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
344,SUSPENSION NY,"SUSPENSION, NY","<[OK] Google - Geocode [867 Edgewater Rd, Bronx, NY 10474, USA]>","[40.8190397, -73.8844482]"
345,HARDFORT CT,"HARDFORT, CT","<[OK] Google - Geocode [Hartford, CT, USA]>","[41.7658043, -72.6733723]"
346,PATERSON NJ,"PATERSON, NJ","<[OK] Google - Geocode [Paterson, NJ, USA]>","[40.9167654, -74.17181099999999]"
347,MURPHYSBORO ILL.,"MURPHYSBORO, IL","<[OK] Google - Geocode [Murphysboro, IL 62966, USA]>","[37.7644952, -89.3350888]"
348,NORRISTON,NORRISTON,"<[OK] Google - Geocode [Norristown, PA, USA]>","[40.121497, -75.3399048]"
349,NESQUEHONING PA,"NESQUEHONING, PA","<[OK] Google - Geocode [Nesquehoning, PA, USA]>","[40.864534, -75.81102770000001]"
350,TRINIDAD CA.,"TRINIDAD, CA","<[OK] Google - Geocode [Trinidad, CA 95570, USA]>","[41.05929099999999, -124.1431246]"
351,PUEBLO COL.,"PUEBLO, CO","<[OK] Google - Geocode [Pueblo, CO, USA]>","[38.2544472, -104.6091409]"
352,YONIGSTOWN OH,"YONIGSTOWN, OH","<[OK] Google - Geocode [Youngstown, OH, USA]>","[41.0997803, -80.6495194]"
353,BROKLYN,"BROOKLYN, NY","<[OK] Google - Geocode [Brooklyn, NY, USA]>","[40.6781784, -73.9441579]"
354,"VILLERSVILLE,IL","VILLERSVILLE, IL",,
355,CALIFORNIA CA,CALIFORNIA,"<[OK] Google - Geocode [California, USA]>","[36.778261, -119.4179324]"
356,SHARON-PA,"SHARON, PA","<[OK] Google - Geocode [Sharon, PA, USA]>","[41.2331116, -80.4934035]"
357,ST LOUIS,"ST LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","[38.6270025, -90.19940419999999]"
358,ELISABETH,ELISABETH,,
359,MOUNT VERNON NY,"MOUNT VERNON, NY","<[OK] Google - Geocode [Mt Vernon, NY, USA]>","[40.9125992, -73.8370786]"
360,CANADA,CANADA,<[OK] Google - Geocode [Canada]>,"[56.130366, -106.346771]"
361,MA,MA,"<[OK] Google - Geocode [Massachusetts, USA]>","[42.4072107, -71.3824374]"
362,NIAGARA-FALLS,NIAGARA FALLS,"<[OK] Google - Geocode [Niagara Falls, NY, USA]>","[43.0962143, -79.0377388]"
363,CONDERSPORT PA,"CONDERSPORT, PA","<[OK] Google - Geocode [Coudersport, PA 16915, USA]>","[41.7747878, -78.02056019999999]"
364,OSWEGO-NY,"OSWEGO, NY","<[OK] Google - Geocode [Oswego, NY, USA]>","[43.4553461, -76.5104973]"
365,NEW YORK-DIED,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
366,LAWRENCE MA,"LAWRENCE, MA","<[OK] Google - Geocode [Lawrence, MA, USA]>","[42.7070354, -71.1631137]"
367,SAINT LOUIS MI,"SAINT LOUIS, MI","<[OK] Google - Geocode [St. Louis, MI, USA]>","[43.4083637, -84.6066704]"
368,MARIAN IL,"MARIAN, IL","<[OK] Google - Geocode [Marion, IL, USA]>","[37.7306054, -88.9331256]"
369,PORTLAND ME,"PORTLAND, ME","<[OK] Google - Geocode [Portland, ME, USA]>","[43.6590993, -70.2568189]"
370,LOUISVILLE K,"LOUISVILLE, KY","<[OK] Google - Geocode [Louisville, KY, USA]>","[38.2526647, -85.7584557]"
371,MOUNT-VERNON,MOUNT VERNON,"<[OK] Google - Geocode [3200 Mount Vernon Hwy, Mt Vernon, VA 22121, USA]>","[38.707982, -77.0861753]"
372,MADISON,MADISON,"<[OK] Google - Geocode [Madison, WI, USA]>","[43.0730517, -89.4012302]"
373,HAMONTON,HAMONTON,"<[OK] Google - Geocode [Hammonton, NJ, USA]>","[39.6365056, -74.8023853]"
374,NEW ORNEANS LA,"NEW ORLEANS, LA","<[OK] Google - Geocode [New Orleans, LA, USA]>","[29.95106579999999, -90.0715323]"
375,NORRISTOWN-PA,"NORRISTOWN, PA","<[OK] Google - Geocode [Norristown, PA, USA]>","[40.121497, -75.3399048]"
376,CO,CO,,
377,WILLIAMSBURG-PA,"WILLIAMSBURG, PA","<[OK] Google - Geocode [Williamsburg, PA 16693, USA]>","[40.4620172, -78.19973200000001]"
378,NEW-ORLEANS-PA,"NEW ORLEANS, PA",,
379,LYNN-MA,"LYNN, MA","<[OK] Google - Geocode [Lynn, MA, USA]>","[42.46676300000001, -70.9494938]"
380,PORT ALLEGANY PA.,"PORT ALLEGANY, PA","<[OK] Google - Geocode [Port Allegany, PA 16743, USA]>","[41.81089799999999, -78.27973519999999]"
381,NIAGARA FALLS,NIAGARA FALLS,"<[OK] Google - Geocode [Niagara Falls, NY, USA]>","[43.0962143, -79.0377388]"
382,TROIA NY,"TROIA, NY",,
383,KANSAS CITY MO,"KANSAS CITY, MO","<[OK] Google - Geocode [Kansas City, MO, USA]>","[39.0997265, -94.5785667]"
384,MURPHYSBORO,MURPHYSBORO,"<[OK] Google - Geocode [Murphysboro, IL 62966, USA]>","[37.7644952, -89.3350888]"
385,HAZLETON,HAZLETON,"<[OK] Google - Geocode [Hazleton, PA, USA]>","[40.9584181, -75.97464719999999]"
386,CA,CA,"<[OK] Google - Geocode [California, USA]>","[36.778261, -119.4179324]"
387,S.FRANCISCO-CA,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
388,SANFRANCISCO,"SAN FRANCISCO, CA","<[OK] Google - Geocode [San Francisco, CA, USA]>","[37.7749295, -122.4194155]"
389,W CLEVELAND PA,"W CLEVELAND, PA",,
390,NE YORK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
391,MILWAUKEE WI,"MILWAUKEE, WI","<[OK] Google - Geocode [Milwaukee, WI, USA]>","[43.0389025, -87.9064736]"
392,GERASCO,GERASCO,,
393,WINNIPEG CAN,"WINNIPEG, CAN","<[OK] Google - Geocode [Winnipeg, MB, Canada]>","[49.895136, -97.13837439999999]"
394,BEAUMONT TX,"BEAUMONT, TX","<[OK] Google - Geocode [Beaumont, TX, USA]>","[30.080174, -94.1265562]"
395,CAMDEN,"CAMDEN, NJ","<[OK] Google - Geocode [Camden, NJ, USA]>","[39.9259463, -75.1196199]"
396,MC-KEESPORT PA,MC-KEESPORT PA,"<[OK] Google - Geocode [McKeesport, PA, USA]>","[40.3470671, -79.8641232]"
397,MONT MORIS NY,"MONT MORIS, NY","<[OK] Google - Geocode [Mt Morris, NY 14510, USA]>","[42.72561839999999, -77.8741694]"
398,PRINCE TOWN PA,"PRINCE TOWN, PA","<[OK] Google - Geocode [Price Township, PA, USA]>","[41.1300092, -75.2128996]"
399,BENRID COL,BENRID COL,,
400,DETROIT-MI,"DETROIT, MI","<[OK] Google - Geocode [Detroit, MI, USA]>","[42.331427, -83.0457538]"
401,MONTREAL,MONTREAL,"<[OK] Google - Geocode [Montreal, QC, Canada]>","[45.5016889, -73.567256]"
402,JOHUSTOWN,JOHUSTOWN,"<[OK] Google - Geocode [Johnstown, PA, USA]>","[40.32674069999999, -78.9219698]"
403,PATTERSON NJ.,"PATTERSON, NJ","<[OK] Google - Geocode [Paterson, NJ, USA]>","[40.9167654, -74.17181099999999]"
404,MASSANSON PA,"MASSANSON, PA",,
405,ROME-NY,"ROME, NY","<[OK] Google - Geocode [Rome, NY, USA]>","[43.2128473, -75.4557303]"
406,COLORADO CO,COLORADO,"<[OK] Google - Geocode [Colorado, USA]>","[39.5500507, -105.7820674]"
407,JOHUNGSTON,JOHUNGSTON,,
408,SAINT LOUIS,"SAINT LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","[38.6270025, -90.19940419999999]"
409,PHILADEPHIA PA,"PHILADEPHIA, PA","<[OK] Google - Geocode [Philadelphia, PA, USA]>","[39.9525839, -75.1652215]"
410,WATERBURY,WATERBURY,"<[OK] Google - Geocode [Waterbury, CT, USA]>","[41.5581525, -73.0514965]"
411,MIDDLETOWN CT,"MIDDLETOWN, CT","<[OK] Google - Geocode [Middletown, CT, USA]>","[41.5623209, -72.6506488]"
412,MONROE P,MONROE P,"<[OK] Google - Geocode [Monroe, NY 10950, USA]>","[41.3306493, -74.1868135]"
413,PORTLAND OR,"PORTLAND, OR","<[OK] Google - Geocode [Portland, OR, USA]>","[45.5122308, -122.6587185]"
414,S. FELE,S. FELE,,
415,AVON-NY,"AVON, NY","<[OK] Google - Geocode [Avon, NY 14414, USA]>","[42.91200720000001, -77.7455583]"
416,NEW,NEW,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
417,BREYON-TX,"BREYON, TX","<[OK] Google - Geocode [Texas, USA]>","[31.9685988, -99.9018131]"
418,BERVIND-CO,"BERVIND, CO",,
419,LACKAWANNA PA,"LACKAWANNA, PA","<[OK] Google - Geocode [Lackawanna County, PA, USA]>","[41.4421199, -75.5742467]"
420,IL,IL,"<[OK] Google - Geocode [Illinois, USA]>","[40.6331249, -89.3985283]"
421,NEW-YORKL,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
422,TRINIDAD COL,TRINIDAD COL,"<[OK] Google - Geocode [Trinidad, CO 81082, USA]>","[37.1694632, -104.5005407]"
423,NEW HAVEN CT,"NEW HAVEN, CT","<[OK] Google - Geocode [New Haven, CT, USA]>","[41.308274, -72.9278835]"
424,FRESNO CA,"FRESNO, CA","<[OK] Google - Geocode [Fresno, CA, USA]>","[36.7377981, -119.7871247]"
425,NE WYORK,NEW YORK,"<[OK] Google - Geocode [New York, NY, USA]>","[40.7127753, -74.0059728]"
426,CLINTON VT.,"CLINTON, VT",,
427,PINX--,PINX--,,
428,BROCOLY,BROCOLY,,
429,RALSTON,RALSTON,"<[OK] Google - Geocode [Ralston, NE 68127, USA]>","[41.2002566, -96.031987]"
430,HARRISBURG,HARRISBURG,"<[OK] Google - Geocode [Harrisburg, PA, USA]>","[40.2731911, -76.8867008]"
431,QUINCY-IL,"QUINCY, IL","<[OK] Google - Geocode [Quincy, IL, USA]>","[39.9356016, -91.4098726]"
432,CHARLESTON-PA,"CHARLESTON, PA","<[OK] Google - Geocode [Charleston Township, PA, USA]>","[41.7376007, -77.2175223]"
433,MILWAUKEE WI.,"MILWAUKEE, WI","<[OK] Google - Geocode [Milwaukee, WI, USA]>","[43.0389025, -87.9064736]"
434,"PITTSBURG, PA","PITTSBURG, PA","<[OK] Google - Geocode [Pittsburgh, PA, USA]>","[40.44062479999999, -79.9958864]"
435,COLUMBIA-TX,"COLUMBIA, TX","<[OK] Google - Geocode [West Columbia, TX 77486, USA]>","[29.1438582, -95.6452249]"
436,PLAQUENI,PLAQUENI,,
437,MONONGAHELA,MONONGAHELA,"<[OK] Google - Geocode [Monongahela, PA 15063, USA]>","[40.2031265, -79.92616029999999]"
438,MONROEVILLE,MONROEVILLE,"<[OK] Google - Geocode [Monroeville, PA, USA]>","[40.4211798, -79.7881024]"
439,REC-PORT,REC-PORT,,
440,BUFFALO MD,"BUFFALO, MD",,
441,TAMPA,"TAMPA, FL","<[OK] Google - Geocode [Tampa, FL, USA]>","[27.950575, -82.4571776]"
442,MALAGA N.M.,"MALAGA, NM","<[OK] Google - Geocode [Malaga, NM, USA]>","[32.2246101, -104.0715779]"
443,MICHIGAN,MICHIGAN,"<[OK] Google - Geocode [Michigan, USA]>","[44.3148443, -85.60236429999999]"
444,S LOUIS MI,S LOUIS MI,"<[OK] Google - Geocode [St. Louis, MI, USA]>","[43.4083637, -84.6066704]"
445,ST. LOUIS,"ST. LOUIS, MO","<[OK] Google - Geocode [St. Louis, MO, USA]>","[38.6270025, -90.19940419999999]"
446,MIDDLETON CN,MIDDLETON CN,"<[OK] Google - Geocode [Middletown, CT, USA]>","[41.5623209, -72.6506488]"
447,GINLENA,GINLENA,,
448,MOUNT VERNON,MOUNT VERNON,"<[OK] Google - Geocode [3200 Mount Vernon Hwy, Mt Vernon, VA 22121, USA]>","[38.707982, -77.0861753]"
449,AVON NY,"AVON, NY","<[OK] Google - Geocode [Avon, NY 14414, USA]>","[42.91200720000001, -77.7455583]"
450,LOWESVILLE OH,"LOWESVILLE, OH",,
451,ALBANY NY,"ALBANY, NY","<[OK] Google - Geocode [Albany, NY, USA]>","[42.6525793, -73.7562317]"
452,BUFALO NJ,"BUFALO, NJ","<[OK] Google - Geocode [Buffalo, NY, USA]>","[42.88644679999999, -78.8783689]"
453,LAKEVILLE MA,"LAKEVILLE, MA","<[OK] Google - Geocode [Lakeville, MA, USA]>","[41.8459169, -70.9495226]"
454,HAKLETON PA,"HAKLETON, PA","<[OK] Google - Geocode [Hazleton, PA, USA]>","[40.9584181, -75.97464719999999]"
455,C------,C------,,
456,GREAT FALLS MT,"GREAT FALLS, MT","<[OK] Google - Geocode [Great Falls, MT, USA]>","[47.5052849, -111.3007715]"
457,WISCONSIN,WISCONSIN,"<[OK] Google - Geocode [Wisconsin, USA]>","[43.7844397, -88.7878678]"
458,WALSON,WALSON,"<[OK] Google - Geocode [409 Montauk Hwy, West Islip, NY 11795, USA]>","[40.6970906, -73.3130366]"
459,LACHARLES,LACHARLES,,
460,NAPOLEONVILLE,NAPOLEONVILLE,"<[OK] Google - Geocode [Napoleonville, LA 70390, USA]>","[29.9382674, -91.0274993]"
461,RICHESTER,RICHESTER,"<[OK] Google - Geocode [Rochester, NY, USA]>","[43.15657789999999, -77.6088465]"
462,LANDENGSVILLE,LANDENGSVILLE,"<[OK] Google - Geocode [Landingville, PA, USA]>","[40.6262022, -76.1235511]"
463,MONANGAHELA-CITY,MONANGAHELA CITY,"<[OK] Google - Geocode [Monongahela, PA 15063, USA]>","[40.2031265, -79.92616029999999]"
464,CACSAS-C,CACSAS-C,,
465,SAN-JOSEPH-CA,"SAN JOSEPH, CA","<[OK] Google - Geocode [San Jose, CA, USA]>","[37.3382082, -121.8863286]"
466,ONTARIO,ONTARIO,"<[OK] Google - Geocode [Ontario, Canada]>","[51.253775, -85.323214]"
467,GUTTENBERG NJ,"GUTTENBERG, NJ","<[OK] Google - Geocode [Guttenberg, NJ 07093, USA]>","[40.7920454, -74.0037505]"
468,COUZVILLI,COUZVILLI,,
