DestRaw,Dest
MONT VERNON,MONT VERNON
BAIONNE,BAIONNE
HISVILLE PA,"HISVILLE, PA"
CHARLEROI PA,"CHARLEROI, PA"
NATICK MA,"NATICK, MA"
NEW PORT RI,"NEWPORT, RI"
ORWEGO,ORWEGO
HARRISBURG PA.,"HARRISBURG, PA"
MAMARONESH N,MAMARONESH N
S.FRANCESCO,"SAN FRANCESCO, CA"
SYRACUSE KS,"SYRACUSE, KS"
NEW  YORK,NEW YORK
AIZAO,AIZAO
SIRACUSE,SIRACUSE
WATERTOWN MA,"WATERTOWN, MA"
SCRANTON,"SCRANTON, PA"
NUION VILLE,NUION VILLE
CLINTON IN,"CLINTON, IN"
BIG SOLDER PA,"BIG SOLDER, PA"
BRISTOL,"BRISTOL, CT"
GLOCESTER,GLOCESTER
CARNEY,CARNEY
ORANGE NY,"ORANGE, NY"
BETHLEHEM RI,"BETHLEHEM, RI"
MA-- CT,MA-- CT
BRYAN-BRAZOS-TEXAS,BRYAN-BRAZOS-TEXAS
"CORNELLSVILLE,NY","CORNELLSVILLE, NY"
MONT-ADAM-MA,"MONT ADAM, MA"
MILLWANKE,"MILLWAUKE, WI"
LOUISVILLE KY,"LOUISVILLE, KY"
BUTTE CITY MT,"BUTTE CITY, MT"
FLOWER TOWN,FLOWER TOWN
PORTLAND,PORTLAND
PORTCHESTER,PORTCHESTER
WASHINGTON D.C.,"WASHINGTON, D.C."
PENNSY;LVANI,PENNSYLVANIA
PENNSYLVANNIA,PENNSYLVANIA
GLAVESTON-PA,"GLAVESTON, PA"
WESTERLY MA,"WESTERLY, MA"
BRANT-NY,"BRANT, NY"
OXFORD,OXFORD
SAINT THOMAS CANADA,"SAINT THOMAS, CANADA"
PATERSON-NY,"PATERSON, NY"
YOHUGSTON-PA,"YOHUGSTON, PA"
BRADFORD PA.,"BRADFORD, PA"
CARLEROI-PA,"CARLEROI, PA"
BROTHEYER,BROTHEYER
WESTERLEY,WESTERLEY
BENSENVILLE,BENSENVILLE
HASTINGS COLORADO,"HASTINGS, COLORADO"
PETERSBURG,PETERSBURG
NEW-YORK-CHICAGO,NEW-YORK-CHICAGO
"DETROIT, MI.","DETROIT, MI"
COSHONTON OHIO,"COSHONTON, OHIO"
S.FRANCISCO C,"SAN FRANCISCO, CA"
S LOUIS MAS,S LOUIS MAS
INDIANAOPOLIS,"INDIANAPOLIS, IN"
INDIANAPOLIS,"INDIANAPOLIS, IN"
GERMANTOWN,GERMANTOWN
JOHUNSTON,JOHUNSTON
PORT CHESTER NY,"PORT CHESTER, NY"
HILLSVILLE-PA,"HILLSVILLE, PA"
DALLAS TX.,"DALLAS, TX"
M--ORT PA,M--ORT PA
SPRING,SPRING
WATERFORD NY,"WATERFORD, NY"
NEW-ORELEANS,"NEW ORELEANS, LA"
EAST-LIBERTY,EAST-LIBERTY
NORWALK CT,"NORWALK, CT"
PILLSTON,PILLSTON
RALSTON PA,"RALSTON, PA"
NEW ORLEANS-LA,"NEW ORLEANS, LA"
P CANADA,P CANADA
DENNISON-OH,"DENNISON, OH"
HAMMONTON NY,"HAMMONTON, NY"
CT,CT
MOSCOW,MOSCOW
CUMBERLAND,CUMBERLAND
JEFFERSON OH,"JEFFERSON, OH"
NASTINGS-CO,"NASTINGS, CO"
WILLIAMSPORT PA,"WILLIAMSPORT, PA"
BRODDOCH PA,"BRODDOCH, PA"
"S,FRANCISCO CA","SAN FRANCISCO, CA"
BANGOR,BANGOR
NEW OYRK,NEW YORK
"ATLANTIC CITY, NJ","ATLANTIC CITY, NJ"
BOSTON-PA,"BOSTON, MA"
MONUT--,MONUT--
RALSTN,RALSTN
BRUNSWICK,BRUNSWICK
NEW-JERS,NEW JERSEY
WILLFORT,WILLFORT
HAMILTON,HAMILTON
OMAHA,"OMAHA, NE"
S-FRANCISCO,"SAN FRANCISCO, CA"
BROOKLN-N,"BROOKLN, NY"
GLOVERSVILLE,GLOVERSVILLE
ORANGE VALLEY NJ,"ORANGE VALLEY, NJ"
SAN-JOSEPH,SAN-JOSEPH
KUISLAND OH,"KUISLAND, OH"
GREENSBURGH-PA,"GREENSBURGH, PA"
GRANSBURG-PA,"GRANSBURG, PA"
ELEANOR PA,"ELEANOR, PA"
MILWAUKEE-WI,"MILWAUKEE, WI"
ROCHESTER PA,"ROCHESTER, PA"
BRISTOL PA,"BRISTOL, PA"
GEFFERSON,GEFFERSON
MIDDLETON-CT,"MIDDLETON, CT"
FRANKLIN IL,"FRANKLIN, IL"
MOSCON,MOSCON
CRESHAW PA,"CRESHAW, PA"
PITTSBURGH PA,"PITTSBURGH, PA"
RENO NEVADA,"RENO, NEVADA"
BRADDOCK PA,"BRADDOCK, PA"
RI,RI
TORONTO CAN,"TORONTO, CAN"
NIAGARA,NIAGARA
AMOS-VILLE,AMOS-VILLE
BALTIMORE M,"BALTIMORE, MD"
DELONGER-PA,"DELONGER, PA"
WELLSVILLE IL,"WELLSVILLE, IL"
MONTREAL CANADA,"MONTREAL, CANADA"
DELANGEN,DELANGEN
HOUSTON-FL,"HOUSTON, FL"
BRAIDWOOD IL,"BRAIDWOOD, IL"
WESTERL--,WESTERL--
LANDING PA,"LANDING, PA"
GINSTOWN,GINSTOWN
S.PETERSBURG,S.PETERSBURG
IOTENSTON PA,"IOTENSTON, PA"
HAMILTON ONT,"HAMILTON, ONT"
NORRISTON-MA,"NORRISTON, MA"
ELISABETH PORT VA,"ELISABETH PORT, VA"
KINGSTON NY,"KINGSTON, NY"
WELLAND,WELLAND
WICKSBURG MS,"WICKSBURG, MS"
WORCESTER,WORCESTER
WHITNEY PA,"WHITNEY, PA"
HAZELTON-CT,"HAZELTON, CT"
WASHINGTON DC,"WASHINGTON, DC"
USA-DIED,USA
N.ORLEANS-DIED,"NEW ORLEANS, LA"
HORATIO-PA,"HORATIO, PA"
ONEIDA NY,"ONEIDA, NY"
MCKEESPORT PA,"MCKEESPORT, PA"
HOMESTEAD,HOMESTEAD
BROCKWAY PA,"BROCKWAY, PA"
CLINTON MAS,"CLINTON, MA"
BUFFALO  NY,"BUFFALO, NY"
LOWELLVILLE OH,"LOWELLVILLE, OH"
READING PA,"READING, PA"
REC -POR,REC -POR
MONTEMAGGIORE,MONTEMAGGIORE
LANGSTON PA,"LANGSTON, PA"
NEWE YORK,NEW YORK
FLOWERTOWN,FLOWERTOWN
ROCKSPRINGS TX,"ROCKSPRINGS, TX"
VICKSBERG-MN,"VICKSBERG, MN"
USA DIED,USA
MC KREES,MC KREES
APARACHICO CL,APARACHICO CL
CAMPO DI FANO,CAMPO DI FANO
SAN JOSE-CA,"SAN JOSE, CA"
SAN JOSE -CA,"SAN JOSE, CA"
REGGIO-DI-CALABRIA,REGGIO-DI-CALABRIA
TRINITA-CO,"TRINITA, CO"
S.DOMINGO,S.DOMINGO
BOSTON MASS,"BOSTON, MA"
ERIE OH,"ERIE, OH"
LOOMSTON PA,"LOOMSTON, PA"
BELLETORRE LA,"BELLETORRE, LA"
NORTAN,NORTAN
MEMPHIS TN,"MEMPHIS, TN"
WHITE-CASTLE,WHITE-CASTLE
LEROY NY,"LEROY, NY"
MEEKSFORT,MEEKSFORT
"MORRIS,","MORRIS,"
DIED-TRANSIT HOSPITA,DIED-TRANSIT HOSPITA
CANEGIE PA,"CANEGIE, PA"
AUSONIA-CT,"AUSONIA, CT"
MILFARE-MI,"MILFARE,MI"
SO BATHLIHAN PA,"SO BATHLIHAN, PA"
SPRINGFIELD-IL,"SPRINGFIELD, IL"
HAMSTERDAM,HAMSTERDAM
WATERLO NY,"WATERLO, NY"
GLASGOW,GLASGOW
WALSTON-PA,"WALSTON, PA"
BRISTOL RI,"BRISTOL, RI"
DELONGER,DELONGER
LAS VEGAS CA,"LAS VEGAS, CA"
MORRISTO,MORRISTO
CANDESPORT PA,"CANDESPORT, PA"
MC KEESPORT PA,"MC KEESPORT, PA"
BELLIGE PA,"BELLIGE, PA"
WESTERLEY-PA,"WESTERLEY, PA"
PLYMOUTH CENTRE - MA,"PLYMOUTH CENTRE, MA"
ALDFORGE,ALDFORGE
FAYATE CITY PA,"FAYATE CITY, PA"
VINELAND-NJ,"VINELAND, NJ"
BROOKLYN-NJ,"BROOKLYN, NJ"
BROOOKLYN,"BROOKLYN, NY"
B--,B--
HOMESTEA,HOMESTEA
HOMOSTEA,HOMOSTEA
CLEVELAND OK,"CLEVELAND, OK"
S ANTONIO,"SAN ANTONIO, TX"
MIDDEKEAN,MIDDEKEAN
AMATRA,AMATRA
PORT-CHESTER,PORT-CHESTER
MILFORD PA,"MILFORD, PA"
BRADFORD-CT,"BRADFORD, CT"
SUSPENSION BRIDGE NY,"SUSPENSION BRIDGE, NY"
MOUNT-,MOUNT-
MIDLETON CT,"MIDLETON, CT"
ST.LOUIS-MA,"ST.LOUIS, MA"
NEW  ORLEANS LA,"NEW  ORLEANS, LA"
WATERBURG CT,"WATERBURG, CT"
SCIACCA,SCIACCA
PROVIDENCE MA,"PROVIDENCE, MA"
MT MORRIS,MT MORRIS
PENSACOLA-FL,"PENSACOLA, FL"
SMITHON PA,"SMITHON, PA"
NAPOLEONVILL,NAPOLEONVILL
JOHNNSTOWN PA,"JOHNNSTOWN, PA"
BROOKLYNG,"BROOKLYN, NY"
NEW ARK,NEW ARK
MADISON NJ,"MADISON, NJ"
OKLAHOMA CITY OK.,"OKLAHOMA CITY, OK"
ST.JOHN,ST.JOHN
CLEVELAND OH.,"CLEVELAND, OH"
MERIDEN-CT,"MERIDEN, CT"
ST.PAUL-MN,"ST.PAUL, MN"
